"No","Judul","Subjudul","Pengarang","Priority","Tahun","Penerbit","Bahasa","Page","TTD"
58,"Rumah Kaca","Roman Pramoedya Ananta Toer, Buku 4/4","Pramoedya Ananta Toer",9,2006,"Lentera Dipantara","ID",646,"2016/Desember/Bandung"
59,"Di Bawah Tiga Bendera","Anarkisme Global dan Imajinasi Antikolonial","Benedict Anderson",9,2015,"Marjin Kiri","ID/Terj",378,"2016/Desember/Bandung"
60,"Seks dan Revolusi",,"Jean-Paul Sartre",9,2016,"Penerbit Narasi","ID/Terj",258,"2016/Desember/Bandung"
61,"Robohnya Surau Kami",,"A. A. Navis",9,2002,"Gramedia","ID",139,"2016/Desember/Bandung"
62,"Pemikiran Karl Marx","Dari Sosialisme Utopis ke Perselisihan Revisionisme","Frans Magnis Suseno",9,1999,"Gramedia","ID",283,"2016/Desember/Bandung"
63,"Arok Dedes","Roman","Pramoedya Ananta Toer",9,2015,"Lentera Dipantara","ID",561,"2016/Desember/Bandung"
64,"Pemberontak","Esai Tentang Manusia dalam Revolusi","Albert Camus",9,2015,"Penerbit Narasi","ID/Terj",578,"2016/Desember/Bandung"
88,"Pohon Filsafat","Teks Kuliah Pengantar Filsafat","Dr. Stephen Palmquis",9,2002,"Pustaka Pelajar Offset","ID/Terj",558,"2016/Oktober/Bandung"
115,"Anak Semua Bangsa","Roman Pramoedya Ananta Toer, Buku 2/4","Pramoedya Ananta Toer",9,2006,"Lentera Dipantara","ID",539,"2016/September/Bandung"
116,"Bumi Manusia","Roman Pramoedya Ananta Toer, Buku ¼","Pramoedya Ananta Toer",9,2006,"Lentera Dipantara","ID",551,"2016/September/Bandung"
122,"Jack Ma","Sisi-sisi Tak Terduga Sang Godfather Bisnis China","Chen Wei",9,2017,"Penerbit Noura (Mizan)","ID/Terj",393,"2017/Agustus/Bandung"
123,"Sejarah Tuhan","Kisah 4000 Tahun Pencarian Tuhan dalam Agama-agama Manusia","Karen Amstrong",9,2017,"Penerbit Mizan","ID/Terj",673,"2017/Agustus/Bandung"
